emp_id,first_name,last_name,date_of_birth,age,age_group,start_date,exit_date,title,supervisor,email,business_unit,employee_status,employee_type,payzone,employee_classification_type,termination_type,department_type,division,state,job_description,gender,race_description,marital_status,performance_score,current_employee_rating
3442,Kaylah,Moon,1952-11-24,72,Above 70,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,IT/IS,Field Operations,MA,Laborer,Male,Black,Single,Exceeds,2
3443,Kristen,Tate,1994-04-08,31,Ages 20-35,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,IT/IS,Project Management - Con,KY,Coordinator,Male,Asian,Widowed,Fully Meets,3
3444,Bobby,Rodgers,1983-11-15,41,Ages 36-55,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Sales,Engineers,KY,Director,Male,Other,Widowed,Fully Meets,3
3445,Reid,Park,1985-12-07,39,Ages 36-55,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unknown,Sales,Project Management - Con,KY,Supervisor,Female,Other,Married,Exceeds,4
3446,Hector,Dalton,1996-05-01,29,Ages 20-35,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,Field Operations,TX,Driller,Female,White,Divorced,Exceeds,2
3447,Mariela,Schultz,1964-02-17,61,Ages 56-70,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Sales,General - Con,TX,Technician,Female,Asian,Widowed,Fully Meets,3
3448,Angela,Molina,1958-05-12,67,Ages 56-70,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,Sales,Engineers,TX,Specialist,Male,Asian,Widowed,Fully Meets,3
3449,Gerald,Preston,1992-09-18,32,Ages 20-35,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Sales,General - Eng,CO,Technician,Male,Black,Single,Fully Meets,5
3450,Reilly,Moyer,1994-08-11,30,Ages 20-35,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Sales,Field Operations,CO,Operator,Male,Other,Single,Exceeds,2
3451,Carlee,French,1968-01-15,57,Ages 56-70,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Sales,General - Con,CO,Technician,Male,Other,Divorced,Exceeds,3
3452,Jaydon,Blackburn,1947-01-07,78,Above 70,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,General - Con,IN,Foreman,Male,Black,Divorced,Fully Meets,2
3453,Bridger,Carter,1982-04-07,43,Ages 36-55,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unknown,Sales,Fielders,MA,Engineer,Male,White,Widowed,Fully Meets,4
3454,Leon,Beard,1970-01-29,55,Ages 36-55,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unknown,IT/IS,General - Con,KY,Foreman,Male,Hispanic,Married,Needs Improvement,4
3455,Charity,Miranda,1999-01-18,26,Ages 20-35,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Project Management - Eng,KY,Manager,Male,Other,Widowed,Exceeds,4
3456,Axel,Howe,1946-09-25,78,Above 70,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unknown,Sales,Field Operations,KY,Technician,Female,Black,Divorced,Fully Meets,3
3457,Milton,Wall,1947-08-23,77,Above 70,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unknown,Sales,Engineers,KY,Technician,Female,White,Divorced,Needs Improvement,3
3458,Cory,Robinson,1996-08-12,28,Ages 20-35,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Sales,Field Operations,TX,Laborer,Female,Hispanic,Single,Needs Improvement,3
3459,Saniya,Yu,1944-02-09,81,Above 70,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Sales,General - Con,TX,Splicer,Male,Black,Widowed,Exceeds,2
3460,Alisa,James,1944-02-10,81,Above 70,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unknown,Sales,Aerial,TX,Lineman,Male,Asian,Married,Fully Meets,3
3461,Lincoln,Compton,1997-12-29,27,Ages 20-35,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Sales,General - Con,CO,Foreman,Male,Hispanic,Married,Needs Improvement,1
3462,Aliana,Nolan,1942-08-09,82,Above 70,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Sales,Field Operations,CO,Coordinator,Male,Hispanic,Divorced,Needs Improvement,3
3463,Kayden,Dodson,1951-06-21,73,Above 70,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Sales,Field Operations,IN,Tower Hand,Male,Hispanic,Single,Fully Meets,1
3464,James,Duke,1998-06-17,26,Ages 20-35,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Sales,Shop (Fleet),MA,Mechanic,Male,Black,Widowed,Needs Improvement,5
3465,Willow,Stuart,1962-01-07,63,Ages 56-70,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unknown,Sales,General - Con,MA,Flagger,Male,Asian,Divorced,Needs Improvement,3
3466,Clayton,Walker,1979-01-26,46,Ages 36-55,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,IT/IS,Aerial,KY,Supervisor,Male,Other,Married,Exceeds,4
3467,Celia,Curtis,1987-05-14,38,Ages 36-55,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unknown,Sales,Fielders,KY,Engineer,Female,Asian,Divorced,Exceeds,1
3468,Valentin,Reilly,1998-04-26,27,Ages 20-35,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unknown,Sales,Wireline Construction,KY,Foreman,Female,Black,Single,Fully Meets,4
3469,Ryland,Shepherd,1945-02-21,80,Above 70,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,TX,Driver,Female,Asian,Divorced,Needs Improvement,3
3470,Esteban,Gilbert,1997-05-31,28,Ages 20-35,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Sales,Field Operations,TX,Technician,Female,Black,Married,Needs Improvement,3
3471,Jonathan,Adkins,1967-01-03,58,Ages 56-70,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unknown,Sales,Field Operations,TX,Foreman,Male,Asian,Married,Fully Meets,4
3472,Nevaeh,Soto,1982-01-12,43,Ages 36-55,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unknown,Sales,Project Management - Con,TX,Director,Male,Other,Married,Exceeds,4
3473,Chaim,Mata,1950-10-01,74,Above 70,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unknown,Sales,Shop (Fleet),CO,Manager,Male,Hispanic,Widowed,Exceeds,2
3474,Arely,Patton,1965-12-16,59,Ages 56-70,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unknown,Sales,Catv,CO,Laborer,Male,Other,Divorced,Fully Meets,2
3475,Vance,Trujillo,1957-12-25,67,Ages 56-70,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Sales,General - Con,IN,Foreman,Male,Asian,Widowed,Fully Meets,2
3476,Charlie,Koch,1945-06-20,79,Above 70,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Sales,Fielders,MA,Engineer,Male,Asian,Divorced,Needs Improvement,2
3477,Sonny,Horne,1969-12-03,55,Ages 36-55,2019-04-07,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unknown,IT/IS,Aerial,KY,Laborer,Female,Asian,Widowed,Needs Improvement,2
3478,Thomas,Chandler,1957-10-10,67,Ages 56-70,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Wireline Construction,KY,Groundman,Female,Hispanic,Married,Fully Meets,2
3479,Sarai,Stone,1962-05-17,63,Ages 56-70,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Sales,Project Management - Con,TX,Technician,Female,Hispanic,Widowed,Fully Meets,2
3480,Jerimiah,Harmon,1946-08-09,78,Above 70,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Sales,Catv,TX,Supervisor,Female,Black,Widowed,Fully Meets,1
3481,Leland,Allen,1965-12-11,59,Ages 56-70,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Sales,Wireline Construction,TX,Splicer,Male,Other,Widowed,Fully Meets,4
3482,Cristal,Bolton,1990-02-11,35,Ages 20-35,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Sales,Catv,TX,Lineman,Male,Asian,Divorced,Needs Improvement,2
3483,Jaslene,Harding,1964-06-19,60,Ages 56-70,2021-09-26,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unknown,Sales,Project Management - Con,CO,Coordinator,Male,Asian,Widowed,Fully Meets,1
3484,Albert,Gonzalez,1995-07-18,29,Ages 20-35,2018-08-29,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unknown,Sales,General - Con,CO,Model Assistant,Male,Other,Single,Fully Meets,4
3485,Jaiden,Johnson,1994-08-22,30,Ages 20-35,2021-10-26,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unknown,Sales,Field Operations,CO,Laborer,Male,White,Widowed,Fully Meets,5
3486,Brendon,Mcconnell,1990-11-14,34,Ages 20-35,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Fielders,IN,Engineer,Male,Other,Widowed,Fully Meets,4
3487,Kimora,Parsons,1994-02-01,31,Ages 20-35,2023-03-15,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unknown,Sales,General - Sga,KY,Administrator,Female,Other,Divorced,Fully Meets,4
3488,Willie,Patterson,1997-11-12,27,Ages 20-35,2022-09-09,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unknown,Sales,Wireline Construction,KY,Lineman,Female,Asian,Single,Fully Meets,2
3489,Devyn,Powers,1953-05-02,72,Above 70,2022-03-04,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unknown,Sales,Field Operations,TX,Laborer,Female,Black,Divorced,Fully Meets,2
3490,Weston,Preston,1991-07-10,33,Ages 20-35,2019-02-11,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,General - Sga,TX,Director,Female,Hispanic,Divorced,Fully Meets,2
3491,Lennon,Buchanan,1973-06-02,52,Ages 36-55,2021-01-26,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unknown,Sales,Field Operations,TX,Driver,Male,White,Widowed,Fully Meets,5
3492,Vicente,Merritt,1993-01-08,32,Ages 20-35,2019-11-26,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unknown,Sales,General - Con,CO,Clerk,Male,Asian,Married,Fully Meets,1
3493,Hugo,Clay,1984-04-17,41,Ages 36-55,2019-07-15,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unknown,Sales,Project Management - Con,CO,Project Manager,Male,Asian,Widowed,Fully Meets,5
3494,Cohen,Raymond,1994-02-08,31,Ages 20-35,2020-06-18,,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unknown,Sales,General - Con,CO,Technician,Male,Black,Single,Fully Meets,4
3495,Tia,Ellis,1993-01-27,32,Ages 20-35,2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Sales,Wireline Construction,IN,Laborer,Male,Other,Married,Fully Meets,4
3496,Aspen,Bentley,1964-09-19,60,Ages 56-70,2021-12-02,,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unknown,Sales,General - Sga,CA,Administrator,Male,Other,Widowed,Fully Meets,5
3497,Graham,Rodriguez,1981-02-18,44,Ages 36-55,2021-12-08,,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unknown,Sales,Project Management - Con,OR,Lineman,Female,Hispanic,Widowed,Fully Meets,1
3498,Joel,Mcmillan,1998-10-17,26,Ages 20-35,2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,Sales,General - Sga,KY,Laborer,Female,White,Widowed,Fully Meets,2
3499,Maci,Frost,1971-01-16,54,Ages 36-55,2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Field Operations,KY,Technician,Female,Asian,Widowed,Fully Meets,5
3500,Nevaeh,Lucas,2000-02-25,25,Ages 20-35,2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,Shop (Fleet),TX,Mechanic,Female,White,Divorced,Fully Meets,1
3501,Garrett,Zimmerman,1959-04-19,66,Ages 56-70,2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,General - Con,TX,Technician,Male,Other,Widowed,Fully Meets,4
3502,Eugene,Marks,1976-06-29,48,Ages 36-55,2019-10-01,,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unknown,Sales,Splicing,TX,Electrician,Male,White,Married,Fully Meets,1
3503,Geovanni,Pugh,1951-07-27,73,Above 70,2022-01-20,,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Unknown,Sales,Project Management - Con,CO,Manager,Male,Other,Single,Fully Meets,4
3504,Javon,Kelley,1980-08-23,44,Ages 36-55,2021-10-10,,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,SVG,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,General - Con,CO,Laborer,Male,Hispanic,Married,Fully Meets,2
3505,Amaya,Hicks,1943-07-24,81,Above 70,2020-08-29,,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unknown,Sales,Field Operations,IN,Groundman,Male,Hispanic,Widowed,Fully Meets,1
3506,Laila,Woodard,1988-07-06,36,Ages 36-55,2019-08-27,2023-05-10,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Sales,Field Operations,IN,Technician,Male,Other,Married,Fully Meets,2
3507,Ivan,Huff,1973-03-24,52,Ages 36-55,2021-02-25,2023-04-07,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Sales,Project Management - Con,CA,Manager,Male,White,Single,Fully Meets,4
3508,Aidan,Harding,1942-05-26,83,Above 70,2021-07-13,,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,Aerial,OR,Laborer,Male,Asian,Single,Fully Meets,5
3509,Cruz,Boyer,1977-11-04,47,Ages 36-55,2021-04-14,,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Unknown,Sales,General - Sga,KY,Project Controls,Female,Black,Married,Fully Meets,2
3510,Raven,Koch,1956-10-17,68,Ages 56-70,2020-02-10,,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unknown,Sales,General - Con,KY,Laborer,Female,Hispanic,Married,Fully Meets,2
3511,Karli,Barker,1997-02-18,28,Ages 20-35,2021-08-17,2021-12-31,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Sales,Finance & Accounting,KY,Director,Female,Asian,Divorced,Fully Meets,4
3512,Tyrone,Sosa,1996-10-25,28,Ages 20-35,2023-04-17,2023-06-22,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Sales,Yard (Material Handling),TX,Coordinator,Female,Black,Single,Fully Meets,2
3513,Damaris,Cisneros,1959-11-13,65,Ages 56-70,2022-09-02,2023-05-24,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Sales,General - Con,TX,Laborer,Male,Other,Married,Fully Meets,5
3514,Alexus,Estes,1958-01-03,67,Ages 56-70,2020-04-15,,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,Wireline Construction,TX,Manager,Male,Asian,Married,Fully Meets,1
3515,Kinsley,Flowers,1997-04-29,28,Ages 20-35,2022-03-09,2022-12-10,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,Finance & Accounting,CO,Controller,Male,White,Single,Fully Meets,4
3516,Deborah,Love,1988-06-25,36,Ages 36-55,2022-04-07,2023-01-22,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Retirement,Sales,Project Management - Con,CO,Coordinator,Male,Asian,Divorced,Fully Meets,5
3517,Milagros,Francis,1942-01-04,83,Above 70,2020-02-19,,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,Splicing,IN,Splicer,Male,Hispanic,Widowed,Fully Meets,4
3518,Roberto,Michael,1969-05-24,56,Ages 56-70,2021-04-10,2022-07-04,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Sales,General - Eng,CA,Coordinator,Female,Hispanic,Married,Fully Meets,2
3519,Elaine,Ewing,1951-03-28,74,Above 70,2021-12-19,2022-03-02,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Sales,Aerial,CA,Groundman,Male,Hispanic,Widowed,Fully Meets,2
3520,Caiden,Munoz,1963-03-01,62,Ages 56-70,2020-12-13,2023-01-13,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Sales,Project Management - Con,ND,Manager,Female,Black,Divorced,Fully Meets,1
3521,Jocelyn,Bradford,1949-04-16,76,Above 70,2019-02-26,,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unknown,Sales,General - Con,KY,Electrician,Female,Asian,Divorced,Fully Meets,4
3522,Marques,Armstrong,1983-10-12,41,Ages 36-55,2020-03-02,,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unknown,Sales,Splicing,KY,Splicer,Female,Other,Single,Fully Meets,1
3523,Rohan,Chapman,1978-12-19,46,Ages 36-55,2021-06-25,2022-08-25,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Sales,General - Con,KY,Laborer,Female,Other,Single,Fully Meets,2
3524,Emmanuel,Franklin,1999-11-11,25,Ages 20-35,2021-07-26,2022-05-04,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,TX,Laborer,Male,Asian,Divorced,Fully Meets,2
3525,Clayton,Mccormick,1967-01-29,58,Ages 56-70,2022-07-03,2023-01-10,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Sales,General - Con,TX,Foreman,Male,Hispanic,Single,Fully Meets,2
